endpoint,seed,grid,abrupt,online,cls,DR,gap,path_over_gap,max_step_over_gap,t_cut,pre_dA,pre_dB,post_dA,post_dB,suffix_dB
shadow_smoke_2,42,v2,False,True,CUT,0.1147767305374145,111.11,4.71,0.38,42,0.13,1.0,1.0,0.06,0.01
shadow_smoke_2,43,v2,False,True,CUT,0.1112230569124221,111.44,4.55,0.45,26,0.16,1.0,1.0,0.1,0.01
hero_flight_1,42,v2,False,False,REAL,0.2040862441062927,88.38,5.45,0.39,85,0.17,0.99,0.99,0.25,0.42
hero_flight_1,43,v2,True,False,REAL,0.2573407292366028,88.45,9.21,0.68,76,0.26,0.99,0.99,0.26,0.41
hero_flight_5,42,v2,True,True,CUT,0.1193494945764541,80.63,3.28,0.99,16,0.03,1.0,0.99,0.12,0.25
hero_flight_5,43,v2,True,True,CUT,0.114056795835495,80.64,8.3,0.72,20,0.48,1.05,1.0,0.11,0.24
shadow_smoke_0,42,v2,True,False,REAL,0.4251381456851959,74.24,13.46,1.15,20,0.05,1.0,1.01,0.44,0.12
shadow_smoke_0,43,v2,False,False,REAL,0.4790016710758209,74.35,16.29,0.76,34,0.47,1.03,0.98,0.5,0.13
hero_flight_6,42,v2,False,False,REAL,0.4338953495025635,79.8,10.94,0.34,16,0.39,0.98,1.01,0.46,0.38
hero_flight_6,43,v2,False,False,REAL,0.5696723461151123,79.63,21.93,0.99,11,0.07,1.0,1.02,0.59,0.38
shadow_smoke_7,42,v2,True,False,REAL,0.3814498782157898,93.94,6.93,0.56,18,0.1,1.0,1.01,0.41,0.12
shadow_smoke_7,43,v2,True,True,CUT,0.104308433830738,94.05,14.62,1.0,22,0.09,1.0,1.0,0.11,0.12
melt_transition_2,42,v2,True,True,CUT,0.0418416857719421,70.57,7.59,0.78,53,0.03,1.0,1.0,0.06,0.01
melt_transition_2,43,v2,False,False,REAL,0.1901118010282516,71.05,17.62,0.69,52,0.31,1.0,1.01,0.19,0.01
display_transition_1,42,v2,True,False,REAL,0.1901746094226837,44.54,6.71,1.02,48,0.05,1.0,1.0,0.44,0.13
display_transition_1,43,v2,True,False,REAL,0.1843366175889969,44.65,4.65,1.09,93,0.24,1.0,1.0,0.11,0.14
earth_wave_3,42,v2,False,False,REAL,0.1960812211036682,83.28,15.1,0.78,48,0.5,1.0,1.0,0.18,0.08
earth_wave_3,43,v2,False,False,REAL,0.4790793359279632,83.07,26.14,0.87,26,0.14,1.0,1.01,0.53,0.08
raven_transition_2,42,v2,True,False,REAL,0.2157641053199768,108.11,5.04,0.96,47,0.27,1.0,1.0,0.07,0.03
raven_transition_2,43,v2,True,False,REAL,0.2692542672157287,108.85,10.96,0.93,27,0.33,1.0,0.99,0.26,0.04
water_bending_3,42,v2,False,False,REAL,0.2261503934860229,81.93,5.68,0.3,98,0.27,1.0,1.0,0.03,0.02
water_bending_3,43,v2,True,False,REAL,0.2526994049549103,81.96,9.51,1.18,40,0.16,1.01,1.0,0.26,0.03
air_bending_1,42,v2,True,True,CUT,0.0388764292001724,67.56,5.59,0.79,61,0.03,1.0,1.0,0.08,0.04
air_bending_1,43,v2,False,True,CUT,0.0884714424610138,67.52,4.42,0.48,44,0.03,1.0,1.0,0.1,0.04
giant_grab_3,42,v2,False,False,REAL,0.5423876643180847,40.79,11.49,0.65,63,0.71,0.99,1.02,0.31,0.35
giant_grab_3,43,v2,True,False,REAL,0.3068933486938476,40.01,9.18,0.96,67,0.38,0.98,1.03,0.27,0.35
firelava_4,42,v2,False,False,REAL,0.2052749097347259,96.5,5.71,0.35,55,0.38,1.0,1.0,0.18,0.04
firelava_4,43,v2,True,False,REAL,0.2949568033218384,96.49,6.5,0.84,53,0.35,1.0,0.99,0.17,0.05
flying_cam_transition_4,42,v2,False,False,REAL,0.185031309723854,77.4,3.57,0.13,47,0.36,1.0,1.0,0.09,0.15
flying_cam_transition_4,43,v2,False,False,REAL,0.3014810681343078,77.22,3.65,0.11,66,0.39,1.0,1.01,0.15,0.15
earth_wave_5,42,v3,True,False,REAL,0.1968834847211837,90.67,7.98,0.61,53,0.3,1.01,1.0,0.13,0.08
earth_wave_5,43,v3,True,False,REAL,0.1506466269493103,90.62,11.06,0.92,54,0.23,1.01,1.0,0.08,0.08
giant_grab_5,42,v3,False,False,REAL,0.3931843638420105,41.35,16.59,0.41,62,0.83,0.87,0.98,0.29,0.06
giant_grab_5,43,v3,False,False,REAL,0.5174349546432495,41.28,17.55,0.79,76,0.64,0.83,1.0,0.24,0.06
flame_transition_2,42,v3,True,False,REAL,0.1886568367481231,65.58,8.97,1.4,33,0.06,1.0,1.19,0.76,0.05
flame_transition_2,43,v3,True,False,REAL,0.2804272770881653,65.5,4.79,1.03,46,0.09,1.0,1.01,0.48,0.05
flame_transition_3,42,v3,True,False,REAL,0.1594254970550537,74.58,3.02,0.99,32,0.01,1.0,0.98,0.46,0.01
flame_transition_3,43,v3,False,False,REAL,0.2360998541116714,74.58,5.45,0.48,26,0.02,1.0,1.0,0.26,0.01
