prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino
P01H,42,high,0.21885959804058075,0.21753516793251038,0.18078923225402832,-0.0013244301080703735,-0.03807036578655243,-0.036745935678482056,0.9612834453582764
P01H,43,high,0.38990846276283264,0.3898744583129883,0.4187457859516144,-3.400444984436035e-05,0.02883732318878174,0.0288713276386261,0.9877305626869202
P01H,44,high,0.23040565848350525,0.22291839122772217,0.22633543610572815,-0.007487267255783081,-0.0040702223777771,0.0034170448780059814,0.9630113840103149
P01L,42,low,0.3995802104473114,0.44978517293930054,0.47321826219558716,0.050204962491989136,0.07363805174827576,0.02343308925628662,0.3486518859863281
P01L,43,low,0.2863529622554779,0.4212251901626587,0.4249728322029114,0.1348722279071808,0.13861986994743347,0.0037476420402526855,0.10326999425888062
P01L,44,low,0.3687728941440582,0.3751932382583618,0.33919811248779297,0.006420344114303589,-0.02957478165626526,-0.03599512577056885,0.19440126419067383
P02H,42,high,0.36657148599624634,0.43274593353271484,0.2983597218990326,0.0661744475364685,-0.06821176409721375,-0.13438621163368225,0.7415554523468018
P02H,43,high,0.37886887788772583,0.37643301486968994,0.35602766275405884,-0.0024358630180358887,-0.022841215133666992,-0.020405352115631104,1.0281020402908325
P02H,44,high,0.3111121952533722,0.3872351348400116,0.32737594842910767,0.0761229395866394,0.016263753175735474,-0.05985918641090393,1.041551947593689
P03H,42,high,0.49980247020721436,0.3621748685836792,0.290108859539032,-0.13762760162353516,-0.20969361066818237,-0.07206600904464722,0.7580409049987793
P03H,43,high,0.4170341491699219,0.3369484543800354,0.06307761371135712,-0.08008569478988647,-0.35395653545856476,-0.2738708406686783,0.6916404366493225
P03H,44,high,0.4991952180862427,0.4419896602630615,0.11403410136699677,-0.05720555782318115,-0.3851611167192459,-0.32795555889606476,0.6890080571174622
P04H,42,high,0.5115640759468079,0.41104981303215027,0.40141957998275757,-0.10051426291465759,-0.11014449596405029,-0.0096302330493927,0.600055992603302
P04H,43,high,0.6933605670928955,0.5590646266937256,0.5536974668502808,-0.13429594039916992,-0.13966310024261475,-0.005367159843444824,0.6436781287193298
P04H,44,high,0.8784747123718262,0.7034255266189575,0.7514806985855103,-0.17504918575286865,-0.12699401378631592,0.048055171966552734,0.6592342853546143
P05H,42,high,0.6018710732460022,0.6109315752983093,0.21356472373008728,0.009060502052307129,-0.3883063495159149,-0.39736685156822205,0.9827249646186829
P05H,43,high,0.6850706934928894,0.5721197128295898,0.051166921854019165,-0.11295098066329956,-0.6339037716388702,-0.5209527909755707,0.9647729992866516
P05H,44,high,0.5380000472068787,0.4984174966812134,0.12472016364336014,-0.03958255052566528,-0.4132798835635185,-0.37369733303785324,0.9879730343818665
P06H,42,high,0.2014235407114029,0.23666580021381378,0.10845287889242172,0.03524225950241089,-0.09297066181898117,-0.12821292132139206,0.9806668758392334
P06H,43,high,0.15633757412433624,0.14805620908737183,0.13925206661224365,-0.008281365036964417,-0.01708550751209259,-0.008804142475128174,1.005301594734192
P06H,44,high,0.2093205749988556,0.21533513069152832,0.1476176679134369,0.0060145556926727295,-0.0617029070854187,-0.06771746277809143,0.9983325600624084
P06L,42,low,0.3546831011772156,0.29411780834198,0.33432894945144653,-0.060565292835235596,-0.020354151725769043,0.04021114110946655,0.9073150157928467
P06L,43,low,0.6850451231002808,0.6712397336959839,0.666637659072876,-0.013805389404296875,-0.018407464027404785,-0.00460207462310791,0.7185764312744141
P06L,44,low,0.2407466024160385,0.20516590774059296,0.22569355368614197,-0.03558069467544556,-0.015053048729896545,0.02052764594554901,0.6390891671180725
P07H,42,high,0.3702477812767029,0.362765371799469,0.2786828279495239,-0.007482409477233887,-0.09156495332717896,-0.08408254384994507,1.0277444124221802
P07H,43,high,0.23727011680603027,0.20791968703269958,0.20299918949604034,-0.02935042977333069,-0.03427092730998993,-0.004920497536659241,1.0062681436538696
P07H,44,high,0.33733949065208435,0.3477690517902374,0.3347654938697815,0.010429561138153076,-0.0025739967823028564,-0.013003557920455933,0.9850413203239441
P08H,42,high,0.3675394356250763,0.38134506344795227,0.30666810274124146,0.013805627822875977,-0.06087133288383484,-0.07467696070671082,1.0139449834823608
P08H,43,high,0.36916616559028625,0.16976583003997803,0.1586434245109558,-0.19940033555030823,-0.21052274107933044,-0.011122405529022217,1.0075950622558594
P08H,44,high,0.3518728017807007,0.14893180131912231,0.05786143243312836,-0.20294100046157837,-0.2940113693475723,-0.09107036888599396,1.0002928972244263
P09H,42,high,0.604594349861145,0.5338831543922424,0.04951944202184677,-0.07071119546890259,-0.5550749078392982,-0.48436371237039566,0.9430845379829407
P09H,43,high,0.9019961953163147,0.894762396812439,0.26136285066604614,-0.007233798503875732,-0.6406333446502686,-0.6333995461463928,0.8987104892730713
P09H,44,high,0.5909912586212158,0.5709542036056519,0.06364387273788452,-0.020037055015563965,-0.5273473858833313,-0.5073103308677673,0.9566075801849365
P09L,42,low,0.43997541069984436,0.29912078380584717,0.29604679346084595,-0.1408546268939972,-0.1439286172389984,-0.0030739903450012207,0.7299018502235413
P09L,43,low,0.5956738591194153,0.5366238355636597,0.5278458595275879,-0.059050023555755615,-0.06782799959182739,-0.008777976036071777,0.4891654849052429
P09L,44,low,0.3949073553085327,0.38665467500686646,0.4033232033252716,-0.00825268030166626,0.008415848016738892,0.01666852831840515,0.5432265996932983
P10H,42,high,1.5282336473464966,1.751131534576416,0.2152271419763565,0.22289788722991943,-1.31300650537014,-1.5359043926000595,0.8633378744125366
P10H,43,high,0.8341830968856812,0.5418251752853394,0.37892693281173706,-0.2923579216003418,-0.4552561640739441,-0.1628982424736023,0.9694121479988098
P10H,44,high,0.9346004128456116,1.0850168466567993,0.4172023832798004,0.15041643381118774,-0.5173980295658112,-0.6678144633769989,0.9673793315887451
P10L,42,low,0.3307035565376282,0.2685820162296295,0.3027566373348236,-0.06212154030799866,-0.027946919202804565,0.03417462110519409,0.6583950519561768
P10L,43,low,0.263030469417572,0.2894326150417328,0.2813378572463989,0.026402145624160767,0.018307387828826904,-0.008094757795333862,0.6203498840332031
P10L,44,low,0.4435485601425171,0.371515154838562,0.3602093458175659,-0.07203340530395508,-0.08333921432495117,-0.011305809020996094,0.5050454139709473
P11H,42,high,0.23240923881530762,0.27903398871421814,0.13139557838439941,0.04662474989891052,-0.1010136604309082,-0.14763841032981873,0.9947289228439331
P11H,43,high,0.22839289903640747,0.37845849990844727,0.16836032271385193,0.1500656008720398,-0.06003257632255554,-0.21009817719459534,0.9712607264518738
P11H,44,high,0.34253716468811035,0.17491739988327026,0.09204784780740738,-0.1676197648048401,-0.250489316880703,-0.08286955207586288,0.9626429677009583
P11L,42,low,0.22574883699417114,0.25071221590042114,0.15644842386245728,0.02496337890625,-0.06930041313171387,-0.09426379203796387,0.47943979501724243
P11L,43,low,0.165017768740654,0.15609803795814514,0.1502523124217987,-0.00891973078250885,-0.014765456318855286,-0.0058457255363464355,0.2394423484802246
P11L,44,low,0.2369699478149414,0.2541508674621582,0.2532142996788025,0.017180919647216797,0.016244351863861084,-0.0009365677833557129,0.41026628017425537
P12H,42,high,0.43363478779792786,0.20138894021511078,0.16846324503421783,-0.23224584758281708,-0.26517154276371,-0.032925695180892944,0.9307236671447754
P12H,43,high,0.47136884927749634,0.49542561173439026,0.44628679752349854,0.02405676245689392,-0.025082051753997803,-0.049138814210891724,0.9377961158752441
