prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P01H,42,high,0.2188595980405807,0.2175351679325103,0.1807892322540283,-0.0013244301080703,-0.0380703657865524,-0.036745935678482,0.9612834453582764,0.4752006530761719,0.8643697500228882
P01H,43,high,0.3899084627628326,0.3898744583129883,0.4187457859516144,-3.400444984436035e-05,0.0288373231887817,0.0288713276386261,0.9877305626869202,0.4961796998977661,0.8499504923820496
P01H,44,high,0.2304056584835052,0.2229183912277221,0.2263354361057281,-0.007487267255783,-0.0040702223777771,0.0034170448780059,0.9630113840103148,0.4758339524269104,0.9151155948638916
P01L,42,low,0.3995802104473114,0.4497851729393005,0.4732182621955871,0.0502049624919891,0.0736380517482757,0.0234330892562866,0.3486518859863281,0.13230383396148682,0.7487712502479553
P01L,43,low,0.2863529622554779,0.4212251901626587,0.4249728322029114,0.1348722279071808,0.1386198699474334,0.0037476420402526,0.1032699942588806,0.13929450511932373,0.6538048386573792
P01L,44,low,0.3687728941440582,0.3751932382583618,0.3391981124877929,0.0064203441143035,-0.0295747816562652,-0.0359951257705688,0.1944012641906738,0.13294076919555664,0.7096536755561829
P02H,42,high,0.3665714859962463,0.4327459335327148,0.2983597218990326,0.0661744475364685,-0.0682117640972137,-0.1343862116336822,0.7415554523468018,0.46756958961486816,0.883534848690033
P02H,43,high,0.3788688778877258,0.3764330148696899,0.3560276627540588,-0.0024358630180358,-0.0228412151336669,-0.0204053521156311,1.0281020402908323,0.4894450902938843,0.8480965495109558
P02H,44,high,0.3111121952533722,0.3872351348400116,0.3273759484291076,0.0761229395866394,0.0162637531757354,-0.0598591864109039,1.041551947593689,0.46207547187805176,0.8089801073074341
P03H,42,high,0.4998024702072143,0.3621748685836792,0.290108859539032,-0.1376276016235351,-0.2096936106681823,-0.0720660090446472,0.7580409049987793,0.2730611562728882,0.9606642127037048
P03H,43,high,0.4170341491699219,0.3369484543800354,0.0630776137113571,-0.0800856947898864,-0.3539565354585647,-0.2738708406686783,0.6916404366493225,0.279171884059906,0.9432389736175536
P03H,44,high,0.4991952180862427,0.4419896602630615,0.1140341013669967,-0.0572055578231811,-0.3851611167192459,-0.3279555588960647,0.6890080571174622,0.35798966884613037,0.9465471506118774
P04H,42,high,0.5115640759468079,0.4110498130321502,0.4014195799827575,-0.1005142629146575,-0.1101444959640502,-0.0096302330493927,0.600055992603302,0.22084468603134155,0.9929393529891968
