endpoint,endpoint_source,endpoint_class,grids,two_sided_rows,frames_source,dino_dist,clip_dist,pixel_gap_rel,gt_DR_med,gt_M,gt_motion_prefix,gt_motion_suffix
acid_0,heldout,acid,04_neutral_v3__dai,0,gt_clip,0.41527485847473145,0.23508191108703613,0.6980184316635132,0.6235899329185486,0.5769230769230769,0.031944528222084045,0.04508170485496521
acid_1,heldout,acid,04_neutral_v3__dai,0,gt_clip,0.18516021966934204,0.1704733967781067,0.5663570761680603,0.444974422454834,0.41346153846153844,0.02072211727499962,0.027640899643301964
air_bending_1,heldin_test,air_bending,02_neutral__dai|04_neutral_v3__dai,5,gt_clip,0.8266698122024536,0.45057064294815063,1.0777623653411865,0.6791385412216187,0.4326923076923077,0.006925886496901512,0.012172476388514042
animalization_0,heldin_test,animalization,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8996449708938599,0.4541689157485962,0.6523081660270691,0.5089731216430664,0.3557692307692308,0.02577255107462406,0.16327783465385437
animalization_2,heldin_test,animalization,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8451440334320068,0.3897433876991272,0.43867355585098267,0.801032304763794,0.7307692307692307,0.01530139148235321,0.35914939641952515
animalization_3,heldin_train,animalization,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5005349516868591,0.3252742886543274,0.7100598812103271,0.5944499969482422,0.5480769230769231,0.013896605931222439,0.04597577452659607
color_rain_0,heldin_test,color_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.15799295902252197,0.14507782459259033,0.32952991127967834,0.27909839153289795,0.3557692307692308,0.01888883300125599,0.12126189470291138
color_rain_2,heldin_test,color_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.3130626678466797,0.15868127346038818,0.3307773768901825,0.5983889102935791,0.7019230769230769,0.047479741275310516,0.062372010201215744
color_rain_3,heldin_train,color_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6857660412788391,0.2304179072380066,0.5280531644821167,0.626715898513794,0.625,0.020592384040355682,0.05476856604218483
cotton_cloud_0,heldout,cotton_cloud,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7955243587493896,0.18224644660949707,0.7951552271842957,0.29612207412719727,0.46153846153846156,0.007394573651254177,0.013765601441264153
davis_bear_elephant,davis,davis,02_neutral__dai|04_neutral_v3__dai,10,gen_cond,0.8599857091903687,0.22222661972045898,0.725959062576294,,,,
davis_blackswan_rhino,davis,davis,02_neutral__dai|04_neutral_v3__dai,8,gen_cond,0.9797965884208679,0.3496437668800354,0.5437620282173157,,,,
davis_hike,davis,davis,02_neutral__dai|04_neutral_v3__dai,0,none,,,,,,,
davis_lucia,davis,davis,02_neutral__dai|04_neutral_v3__dai,0,none,,,,,,,
davis_mallard_water,davis,davis,02_neutral__dai|04_neutral_v3__dai,0,none,,,,,,,
davis_tennis_snowboard,davis,davis,02_neutral__dai|04_neutral_v3__dai,10,gen_cond,0.876124918460846,0.47537755966186523,0.6444668769836426,,,,
display_transition_1,heldout,display_transition,02_neutral__dai|04_neutral_v3__dai,4,gt_clip,1.007775902748108,0.37913715839385986,0.7980310320854187,0.752300500869751,0.5576923076923077,0.005379249807447195,0.09118323773145676
earth_element_1,heldin_train,earth_element,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8477869033813477,0.5398730635643005,0.7090967893600464,0.525393009185791,0.20192307692307693,0.015590783208608627,0.14811718463897705
earth_element_4,heldin_test,earth_element,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8985881209373474,0.46776729822158813,0.6629278063774109,0.5143020153045654,0.5480769230769231,0.010175843723118305,0.14474894106388092
earth_element_6,heldin_test,earth_element,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6747241616249084,0.37314701080322266,0.5232575535774231,0.702914834022522,0.41346153846153844,0.14714884757995605,0.3029637336730957
earth_wave_3,heldin_test,earth_wave,02_neutral__dai|04_neutral_v3__dai,6,gt_clip,0.6917517185211182,0.35473746061325073,0.7562260031700134,0.8413573503494263,0.6153846153846154,0.028865095227956772,0.031387824565172195
earth_wave_5,heldin_test,earth_wave,04_neutral_v3__dai,2,gt_clip,0.7705483436584473,0.3373817801475525,0.9046628475189209,0.5734753012657166,0.40384615384615385,0.011874550953507423,0.021225806325674057
ed.Acid_mist_limb_transformation.0f4fc4edacb19f56.M,heldout,ed.Acid_mist_limb_transformation,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Acid_mist_ring_barrier.124845165dd76dbe.M,heldout,ed.Acid_mist_ring_barrier,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Acidic_Body_Aura.1666bbc4d89600ca.M,heldout,ed.Acidic_Body_Aura,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Amber_crystal_wings_on_back.0b899d5068edcb66.M,heldout,ed.Amber_crystal_wings_on_back,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Amber_roots_from_feet.140f18915e0e58bd.M,heldout,ed.Amber_roots_from_feet,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Amber_streams_from_eyes.163ded7ec9e49fc8.M,heldout,ed.Amber_streams_from_eyes,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Amethyst_sword_from_palm.04b7a1c4ba96f12f.M,heldout,ed.Amethyst_sword_from_palm,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Ant_glyph_aura.0f6ac03f76f43971.M,heldout,ed.Ant_glyph_aura,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Ants_flow_from_eyes.0620ac943c6d8ba8.M,heldout,ed.Ants_flow_from_eyes,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Ants_in_hair.1c25610a8ac6e272.M,heldout,ed.Ants_in_hair,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Apple_blossoms_in_hair.0619b4c4abb83d1a.M,heldout,ed.Apple_blossoms_in_hair,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Apple_core_in_chest.09795be76e2b7ec4.M,heldout,ed.Apple_core_in_chest,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Arm_chip_serpent.140f18915e0e58bd.M,heldout,ed.Arm_chip_serpent,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Arm_circuit_electronic_cloud.0ecbeef919f89a12.M,heldout,ed.Arm_circuit_electronic_cloud,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Arm_data_corruption.04b7a1c4ba96f12f.M,heldout,ed.Arm_data_corruption,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Arm_shadow_chains.0e513cd16d065c6a.M,heldout,ed.Arm_shadow_chains,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Array_encircling_feet.0c27bd005ad52648.M,heldout,ed.Array_encircling_feet,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Avocado_Pulp_Aura.163ded7ec9e49fc8.M,heldout,ed.Avocado_Pulp_Aura,05_neutral_v3ed81__dai,0,none,,,,,,,
