endpoint,seed,cls_ep,src,foreign,DR_both,DR_start,M_both,M_start,cls_both,cls_start,abrupt_both,abrupt_start,ss_both,ss_start,pos_both,pos_start,dDR,on_both,on_start
shadow_smoke_2,42,shadow_smoke,heldin_train,False,0.1147767305374145,0.0429668650031089,0.0673076923076923,0.0,CUT,CUT,False,True,0.08113289624452591,0.48409345746040344,0.3238095238095238,0.2767857142857143,0.0718098655343056,True,True
shadow_smoke_2,43,shadow_smoke,heldin_train,False,0.1112230569124221,0.0930930972099304,0.0288461538461538,0.063063063063063,CUT,CUT,False,False,0.09800305217504501,0.047381192445755005,0.17142857142857143,0.13392857142857142,0.01812995970249169,True,True
hero_flight_1,42,hero_flight,heldin_train,False,0.2040862441062927,0.2221277058124542,0.0384615384615384,0.3243243243243243,REAL,REAL,False,False,0.07119573652744293,0.07657116651535034,0.7333333333333333,0.2767857142857143,-0.0180414617061615,False,False
hero_flight_1,43,hero_flight,heldin_train,False,0.2573407292366028,0.5346377491950989,0.0288461538461538,0.1801801801801801,REAL,REAL,True,False,0.07387445867061615,0.02652782015502453,0.6476190476190476,0.6607142857142857,-0.2772970199584961,False,False
hero_flight_5,42,hero_flight,heldin_test,False,0.1193494945764541,0.1010503619909286,0.0,0.1621621621621621,CUT,CUT,True,False,0.3017062842845917,0.05781242996454239,0.0761904761904762,0.5892857142857143,0.0182991325855255,True,True
hero_flight_5,43,hero_flight,heldin_test,False,0.114056795835495,0.5824627876281738,0.0769230769230769,0.081081081081081,CUT,REAL,True,False,0.08627717941999435,0.05732588469982147,0.11428571428571428,0.08928571428571429,-0.46840599179267883,True,False
shadow_smoke_0,42,shadow_smoke,heldin_test,False,0.4251381456851959,0.4340509474277496,0.2403846153846154,0.0,REAL,REAL,True,True,0.08542424440383911,0.13053542375564575,0.11428571428571428,0.08928571428571429,-0.008912801742553655,False,False
shadow_smoke_0,43,shadow_smoke,heldin_test,False,0.4790016710758209,0.7087228298187256,0.173076923076923,0.081081081081081,REAL,REAL,False,False,0.04641216993331909,0.0387834869325161,0.24761904761904763,0.16071428571428573,-0.22972115874290466,False,False
hero_flight_6,42,hero_flight,heldin_test,False,0.4338953495025635,0.3721853196620941,0.1346153846153846,0.2522522522522522,REAL,REAL,False,False,0.03143125772476196,0.04873928800225258,0.0761904761904762,0.2767857142857143,0.06171002984046936,False,False
hero_flight_6,43,hero_flight,heldin_test,False,0.5696723461151123,0.4782313406467438,0.0673076923076923,0.2972972972972973,REAL,REAL,False,False,0.04536348581314087,0.040116649121046066,0.02857142857142857,0.16071428571428573,0.09144100546836853,False,False
shadow_smoke_7,42,shadow_smoke,heldin_test,False,0.3814498782157898,0.1796492934226989,0.0384615384615384,0.036036036036036,REAL,REAL,True,True,0.08131951838731766,0.17246487736701965,0.09523809523809523,0.07142857142857142,0.2018005847930909,False,False
shadow_smoke_7,43,shadow_smoke,heldin_test,False,0.104308433830738,0.4077571928501129,0.173076923076923,0.1081081081081081,CUT,REAL,True,True,0.06826169043779373,0.10807112604379654,0.13333333333333333,0.125,-0.3034487590193749,True,False
melt_transition_2,42,melt_transition,heldout,False,0.0418416857719421,0.3138441145420074,0.0673076923076923,0.0,CUT,REAL,True,True,0.103391133248806,0.3873666524887085,0.42857142857142855,0.2767857142857143,-0.2720024287700653,True,False
melt_transition_2,43,melt_transition,heldout,False,0.1901118010282516,0.2457532733678817,0.0576923076923076,0.054054054054054,REAL,REAL,False,False,0.038903750479221344,0.08631614595651627,0.41904761904761906,0.15178571428571427,-0.0556414723396301,False,False
