space,stratum,tier,ref,default,descriptor,null,n_units,ref_med,def_med,null_med,ref_minus_def,def_minus_null,correct_dir,brief_criterion,paired_frac_correct,headroom_ratio,verdict
PIX,S-GRID,,GT,NULLGEN,DR,LERP,19,0.6044,0.2394,0.0,0.365,0.2394,True,True,1.0,1.524,RIGHT
PIX,S-GRID,,GT,NULLGEN,DR,CUT50,19,0.6044,0.2394,0.0,0.365,0.2394,True,True,1.0,1.524,RIGHT
PIX,S-GRID,,GT,NULLGEN,DR,FREEZE,19,0.6044,0.2394,0.0,0.365,0.2394,True,True,1.0,1.524,RIGHT
PIX,S-GRID,,GT,NULLGEN,M,LERP,19,0.4038,0.0481,0.5,0.3558,-0.4519,False,False,0.053,0.787,WRONG
PIX,S-GRID,,GT,NULLGEN,M,CUT50,19,0.4038,0.0481,0.0,0.3558,0.0481,True,True,0.895,7.4,RIGHT
PIX,S-GRID,,GT,NULLGEN,M,FREEZE,19,0.4038,0.0481,0.0,0.3558,0.0481,True,True,0.895,7.4,RIGHT
PIX,S-GRID,,GT,NULLGEN,cross,LERP,19,0.4519,0.4038,0.5,0.0481,-0.0962,False,False,0.368,0.5,WRONG
PIX,S-GRID,,GT,NULLGEN,cross,CUT50,19,0.4519,0.4038,0.5,0.0481,-0.0962,False,False,0.368,0.5,WRONG
PIX,S-GRID,,GT,NULLGEN,cross,FREEZE,19,0.4519,0.4038,1.0,0.0481,-0.5962,False,False,0.368,0.081,WRONG
PIX,S-GRID,,GT,NULLGEN,nu_max,LERP,19,1.0627,0.7831,0.4952,0.2796,0.2879,True,True,0.895,0.971,RIGHT
PIX,S-GRID,,GT,NULLGEN,nu_max,CUT50,19,1.0627,0.7831,0.0,0.2796,0.7831,True,True,0.895,0.357,RIGHT
PIX,S-GRID,,GT,NULLGEN,nu_max,FREEZE,19,1.0627,0.7831,0.0,0.2796,0.7831,True,True,0.895,0.357,RIGHT
PIX,S-GRID,,GT,NULLGEN,path_over_gap,LERP,19,22.1282,7.5933,1.0,14.5349,6.5933,True,True,0.947,2.205,RIGHT
PIX,S-GRID,,GT,NULLGEN,path_over_gap,CUT50,19,22.1282,7.5933,1.0,14.5349,6.5933,True,True,0.947,2.205,RIGHT
PIX,S-GRID,,GT,NULLGEN,path_over_gap,FREEZE,19,22.1282,7.5933,1.0,14.5349,6.5933,True,True,0.947,2.205,RIGHT
PIX,S-GRID,,GT,NULLGEN,step_share,LERP,19,0.0248,0.0808,0.0095,-0.056,0.0713,False,False,0.053,0.786,WRONG
PIX,S-GRID,,GT,NULLGEN,step_share,CUT50,19,0.0248,0.0808,1.0,-0.056,-0.9192,True,True,0.947,0.061,RIGHT
PIX,S-GRID,,GT,NULLGEN,step_share,FREEZE,19,0.0248,0.0808,1.0,-0.056,-0.9192,True,True,0.947,0.061,RIGHT
PIX,S-PROBE,high,R1,R3,DR,LERP,90,0.3671,0.2063,0.0,0.1608,0.2063,True,True,0.867,0.779,RIGHT
PIX,S-PROBE,high,R1,R3,DR,CUT50,90,0.3671,0.2063,0.0,0.1608,0.2063,True,True,0.867,0.779,RIGHT
PIX,S-PROBE,high,R1,R3,DR,FREEZE,90,0.3671,0.2063,0.0,0.1608,0.2063,True,True,0.867,0.779,RIGHT
PIX,S-PROBE,high,R1,R3,M,LERP,90,0.2252,0.0577,0.5,0.1675,-0.4423,False,False,0.089,0.379,WRONG
PIX,S-PROBE,high,R1,R3,M,CUT50,90,0.2252,0.0577,0.0,0.1675,0.0577,True,True,0.811,2.904,RIGHT
PIX,S-PROBE,high,R1,R3,M,FREEZE,90,0.2252,0.0577,0.0,0.1675,0.0577,True,True,0.811,2.904,RIGHT
PIX,S-PROBE,high,R1,R3,cross,LERP,90,0.3378,0.2788,0.5,0.059,-0.2212,False,False,0.389,0.267,WRONG
PIX,S-PROBE,high,R1,R3,cross,CUT50,90,0.3378,0.2788,0.5,0.059,-0.2212,False,False,0.389,0.267,WRONG
PIX,S-PROBE,high,R1,R3,cross,FREEZE,90,0.3378,0.2788,1.0,0.059,-0.7212,False,False,0.433,0.082,WRONG
