space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
PIX,S-GRID:NULLGEN,null_v2__hero_flight_1__s42,0.67,8.0,0.0292081463650022,0.3133978890499535,0.0639831908326313,0.2210643481188263,0.5303035404312153,0.2288860473531197
PIX,S-GRID:NULLGEN,null_v2__hero_flight_1__s43,0.61,8.0,0.0531913208607083,0.2583190972937574,0.0777375919637095,0.2817447714835451,0.4930518344496231,0.2896386114895272
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_2__s42,0.315,12.0,0.0192125727047392,0.2673155536169264,0.0804858703633424,0.140860798506925,0.4930028224711945,0.151154879153849
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_2__s43,0.145,8.0,0.0239971803370308,0.3920802230688882,0.0711030503724456,0.152621589155345,0.4671132356790842,0.1586192641323301
PIX,S-GRID:NULLGEN,null_v2__hero_flight_5__s42,0.07,2.0,0.0320288974292327,0.4767077116802014,0.0358936000182317,0.1748556868609757,0.3309405592650606,0.1768226014769107
PIX,S-GRID:NULLGEN,null_v2__hero_flight_5__s43,0.09,16.0,0.0425413036046556,0.4079773797179288,0.1027260417651613,0.2371374468316011,0.6744769996631937,0.2442988436626879
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_0__s42,0.015,32.0,0.1349427086662058,0.3331784096040967,0.168035243135236,0.406820658451639,1.5586450436755068,0.4280880617900888
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_0__s43,0.075,32.0,0.1269842094888459,0.2558017458404933,0.1827849001757152,0.5091228301633318,1.2805689740479782,0.5332339960152422
PIX,S-GRID:NULLGEN,null_v2__hero_flight_6__s42,0.06,32.0,0.0855631374896689,0.3012449606534261,0.1501193356454497,0.4029069266137605,0.3959739023068634,0.4298492422832633
PIX,S-GRID:NULLGEN,null_v2__hero_flight_6__s43,0.0,16.0,0.1361457519039543,0.3806971742315683,0.15651805492377,0.544199586006069,1.2523479005657152,0.5645584179714126
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_7__s42,0.08,8.0,0.046863936273159,0.4215419160347347,0.0675255498916546,0.3391378805618752,0.6972356880500351,0.3456490430093854
PIX,S-GRID:NULLGEN,null_v2__shadow_smoke_7__s43,0.075,32.0,0.0934673363389417,0.3384211098747985,0.1889079539847713,0.2505468956374108,0.7488188613879729,0.2676148143892822
PIX,S-GRID:NULLGEN,null_v2__display_transition_1__s42,0.38,3.0,0.0689019032124017,0.2433446171624549,0.0724897118716489,0.2357582415578122,0.4874606392264446,0.2413876189184782
PIX,S-GRID:NULLGEN,null_v2__display_transition_1__s43,0.56,16.0,0.0268479316781997,0.2706372393665534,0.0938578946468967,0.2948782002401254,0.5693704516918364,0.3070975556012955
