group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
GT:all-two-sided,air_bending,GT__air_bending_0,0.4196607977142415,0.4918924680097535,0.5673462115553436,48.0,0.0731881985298357,0.2396070372412339,0.9064259687957736
GT:all-two-sided,air_bending,GT__air_bending_1,0.5453303076812737,0.5697659006655277,0.679138443602012,80.0,0.0556666330667258,0.1006725981838608,1.0777620619155177
GT:all-two-sided,air_bending,GT__air_bending_2,0.5276625465165008,0.5260388648170686,0.5443275636559701,64.0,0.0417029358333723,0.1226581644118761,0.9070261089802968
GT:all-two-sided,air_bending,GT__air_bending_3,0.514027239803494,0.5122652065178938,0.61631125052819,80.0,0.0878031804013895,0.0905183205432842,0.7974253314218372
GT:all-two-sided,display_transition,GT__display_transition_0,0.6634786133637434,0.4472301010405616,0.5365478006116268,32.0,0.0495149551157953,0.2443797700691797,0.8962032652549634
GT:all-two-sided,display_transition,GT__display_transition_1,0.4253166217398594,0.6611002737609711,0.7523001185867816,104.0,0.0978489055835857,0.103560129145757,0.7980324814959354
GT:all-two-sided,display_transition,GT__display_transition_2,0.4639362068899815,0.5372489638888077,0.5828652833196024,64.0,0.0768985294524638,0.1767090107256856,0.7125121153215553
GT:all-two-sided,display_transition,GT__display_transition_3,0.6625019016751388,0.4480511892900131,0.5385271470539171,32.0,0.0496288181523888,0.2444715110554309,0.8909090166532028
GT:all-two-sided,earth_wave,GT__earth_wave_0,0.5648683590077306,0.4755466403714056,0.5746596979472887,80.0,0.1199871452028834,0.1830454348944802,0.8997679129945333
GT:all-two-sided,earth_wave,GT__earth_wave_1,0.48724714933732,0.5767037194772335,0.6345572409744423,104.0,0.1738566878552725,0.1738566878552725,0.6775441807870356
GT:all-two-sided,earth_wave,GT__earth_wave_2,0.4444140866801076,0.5480874457106095,0.6390591239238876,104.0,0.0760241059333262,0.0890969078350705,0.9494768006010088
GT:all-two-sided,earth_wave,GT__earth_wave_3,0.4800417154087015,0.7025014092615807,0.8413571621101759,104.0,0.1434332668537873,0.1434332668537873,0.7562270450088325
GT:all-two-sided,earth_wave,GT__earth_wave_4,0.5323711555121708,0.4135647314409064,0.4637492720663214,80.0,0.1005713044013218,0.1230944048730612,0.7382999578779681
GT:all-two-sided,earth_wave,GT__earth_wave_5,0.5631589431114268,0.474823443343958,0.5734749799302856,80.0,0.1199947516070519,0.1830530851160684,0.904663241804337
