clip_id,stratum,group,owner,gap_over_anchor_norm,d_encLERP_to_LATLERP_med,d_encLERP_to_LATLERP_mid,latlerp_norm_min,enclerp_norm_min,main_norm_min,main_norm_med,cut_norm_min,dino_cos_AB,dino_chord_mid_norm,anchor_a_norm,anchor_b_norm
null_v2__hero_flight_1__s42,S-GRID,NULLGEN,GT__hero_flight_1,1.3719291086691792,0.5614505412280685,0.5614505412280685,0.727691274410798,0.9122755299654032,0.90039389922722,1.002141737510809,0.9884707906173015,0.06455967181227606,0.7295751064188923,211.6885722907308,207.94249324542088
null_v2__hero_flight_1__s43,S-GRID,NULLGEN,GT__hero_flight_1,1.3719291086691792,0.5614505412280685,0.5614505412280685,0.727691274410798,0.9122755299654032,0.9822188507905971,1.0219690757293702,0.9884707906173015,0.021457793122408475,0.7146529903115247,211.6885722907308,207.94249324542088
null_v2__shadow_smoke_2__s42,S-GRID,NULLGEN,GT__shadow_smoke_2,1.4427402461898953,0.37482726937779554,0.37482726937779554,0.6824861344113854,0.8752558912567074,0.8860950031116341,1.1154291936201932,0.9139933036621872,0.015740338404896193,0.71265010292741,192.29158261096424,248.03687245306386
null_v2__shadow_smoke_2__s43,S-GRID,NULLGEN,GT__shadow_smoke_2,1.4427402461898953,0.37482726937779554,0.37482726937779554,0.6824861344113854,0.8752558912567074,0.8795542656506206,1.1167506850804743,0.9139933036621872,0.0013422079338170079,0.7075811642256374,192.29158261096424,248.03687245306386
null_v2__hero_flight_5__s42,S-GRID,NULLGEN,GT__hero_flight_5,1.4550451647362348,0.5263798837771291,0.5263798837771291,0.6860891044559088,0.9141026977440254,0.99287765068143,1.046144587441044,1.0132477875398773,0.03501194315849432,0.7193788790194269,203.66990141367637,204.74088771077143
null_v2__hero_flight_5__s43,S-GRID,NULLGEN,GT__hero_flight_5,1.4550451647362348,0.5263798837771291,0.5263798837771291,0.6860891044559088,0.9141026977440254,0.9540074425569961,1.0590046494750787,1.0132477875398773,0.0352278258781098,0.7194538991061588,203.66990141367637,204.74088771077143
null_v2__shadow_smoke_0__s42,S-GRID,NULLGEN,GT__shadow_smoke_0,1.2275859483891904,0.4414129580059129,0.4414129580059129,0.7896917282316942,0.891771083973057,0.9717383270711137,1.0160661903193822,0.9869842597118264,0.044551576621927325,0.7226865076303581,221.71228415996978,230.23208331218484
null_v2__shadow_smoke_0__s43,S-GRID,NULLGEN,GT__shadow_smoke_0,1.2275859483891904,0.4414129580059129,0.4414129580059129,0.7896917282316942,0.891771083973057,0.9044719492423079,1.0060346174222892,0.9869842597118264,0.0492332619089666,0.7243042392216708,221.71228415996978,230.23208331218484
null_v2__hero_flight_6__s42,S-GRID,NULLGEN,GT__hero_flight_6,1.388812336105242,0.5596434176738075,0.5506374383194332,0.716734296101961,0.9033787830101269,0.9118167841748875,0.9507304716093542,0.984214829982127,0.6261708183515111,0.9017124869800548,238.55025659497105,210.53909232754143
null_v2__hero_flight_6__s43,S-GRID,NULLGEN,GT__hero_flight_6,1.388812336105242,0.5596434176738075,0.5506374383194332,0.716734296101961,0.9033787830101269,0.9083501315300081,0.9309216733744208,0.984214829982127,0.6075179058556159,0.8965260469879321,238.55025659497105,210.53909232754143
null_v2__shadow_smoke_7__s42,S-GRID,NULLGEN,GT__shadow_smoke_7,1.3626152742434714,0.3852290232330513,0.3880310852941011,0.7325921951014792,0.89995598988344,0.980202293367001,0.9947141619947172,0.9864808877753322,0.1322197459594463,0.7524027332351493,257.9777402772512,240.9175940976836
null_v2__shadow_smoke_7__s43,S-GRID,NULLGEN,GT__shadow_smoke_7,1.3626152742434714,0.3852290232330513,0.3880310852941011,0.7325921951014792,0.89995598988344,0.9814968626399678,0.9905914597949382,0.9864808877753322,0.12299996558999737,0.7493330252931594,257.9777402772512,240.9175940976836
null_v2__display_transition_1__s42,S-GRID,NULLGEN,GT__display_transition_1,1.3828867022586415,0.35850005529965945,0.35110363380364407,0.7067601256380079,0.835213632800831,0.8300833620508823,0.8723181483567084,0.8479457622811858,0.015499787745284266,0.7125657119681259,235.4108532604055,176.30390413396032
null_v2__display_transition_1__s43,S-GRID,NULLGEN,GT__display_transition_1,1.3828867022586415,0.35850005529965945,0.35110363380364407,0.7067601256380079,0.835213632800831,0.8611782074889491,1.1159037348020362,0.8479457622811858,0.013234228360943234,0.7117704083343671,235.4108532604055,176.30390413396032
null_v2__earth_wave_3__s42,S-GRID,NULLGEN,GT__earth_wave_3,1.342522447207304,0.3571200407603362,0.36217168380514136,0.74175196797361,0.8753102482384153,0.848586486430262,1.0165569409366726,0.9841743627932305,0.17680546726660396,0.7670741382899713,251.78643794667897,266.3287620105353
null_v2__earth_wave_3__s43,S-GRID,NULLGEN,GT__earth_wave_3,1.342522447207304,0.3571200407603362,0.36217168380514136,0.74175196797361,0.8753102482384153,0.8743108658857298,0.9872375592808283,0.9841743627932305,0.16740315929882854,0.7640036515942933,251.78643794667897,266.3287620105353
null_v2__melt_transition_2__s42,S-GRID,NULLGEN,GT__melt_transition_2,1.2930741673604522,0.3168038714513466,0.3365477508303254,0.76316367352084,0.8554819641407252,0.9231046401963556,1.00920159865753,0.9801422387665059,0.06567501760741834,0.7299571965558729,216.1648871262639,207.3980081478816
null_v2__melt_transition_2__s43,S-GRID,NULLGEN,GT__melt_transition_2,1.2930741673604522,0.3168038714513466,0.3365477508303254,0.76316367352084,0.8554819641407252,0.901841985629041,0.9964321419898099,0.9801422387665059,0.06997935343861172,0.7314298850329441,216.1648871262639,207.3980081478816
null_v2__raven_transition_2__s42,S-GRID,NULLGEN,GT__raven_transition_2,1.364211264105929,0.4758348776523132,0.4758348776523132,0.7305565049406557,0.8967549810807883,0.922225012169966,1.0481023715449431,0.9867437878530794,0.20050930311481352,0.7747610286774927,185.89560127746682,202.76604734739445
null_v2__raven_transition_2__s43,S-GRID,NULLGEN,GT__raven_transition_2,1.364211264105929,0.4758348776523132,0.4758348776523132,0.7305565049406557,0.8967549810807883,0.9652929296352046,1.0575698923077395,0.9867437878530794,0.16316460208054195,0.7626154345672994,185.89560127746682,202.76604734739445
null_v2__air_bending_1__s42,S-GRID,NULLGEN,GT__air_bending_1,1.3245920378851332,0.2778840340541877,0.2991815045207662,0.7494323622657708,0.8986104067834342,0.934538045005615,1.0066891556968576,0.9793133506920457,0.15785012551759792,0.7608712524197501,222.8972022667429,215.48996684368623
null_v2__air_bending_1__s43,S-GRID,NULLGEN,GT__air_bending_1,1.3245920378851332,0.2778840340541877,0.2991815045207662,0.7494323622657708,0.8986104067834342,0.9885188084552421,0.9997246129731193,0.9793133506920457,0.1647653056817262,0.7631399955714961,222.8972022667429,215.48996684368623
null_v2__giant_grab_3__s42,S-GRID,NULLGEN,GT__giant_grab_3,0.9337317942175724,0.5326432202288662,0.5005446988897165,0.8791665501434347,0.9598161688828195,0.9507547178589533,0.9790298247548438,0.961947737991763,0.44092001933518077,0.8487991574380775,204.44461818450574,184.322988752015
null_v2__giant_grab_3__s43,S-GRID,NULLGEN,GT__giant_grab_3,0.9337317942175724,0.5326432202288662,0.5005446988897165,0.8791665501434347,0.9598161688828195,0.9628619312171133,1.0240525723229266,0.961947737991763,0.4228741797096518,0.8434673021847533,204.44461818450574,184.322988752015
null_v2__water_bending_3__s42,S-GRID,NULLGEN,GT__water_bending_3,1.3049140149631315,0.356017386986508,0.3674237027930374,0.7562268113137687,0.864055345103255,0.8900475433291603,0.9662542984267707,0.9447075582812848,0.13733455683359352,0.7541003105799631,237.83440568749447,216.73297318669864
null_v2__water_bending_3__s43,S-GRID,NULLGEN,GT__water_bending_3,1.3049140149631315,0.356017386986508,0.3674237027930374,0.7562268113137687,0.864055345103255,0.9237256033820861,0.9478693897687346,0.9447075582812848,0.15422059055890713,0.7596777575258167,237.83440568749447,216.73297318669864
null_v2__firelava_4__s42,S-GRID,NULLGEN,GT__firelava_4,1.397121647958441,0.41847537832992276,0.41847537832992276,0.7160804127416995,0.8799839099084819,0.9535467560912174,0.988001159852276,1.0132022935775886,0.29597403963680335,0.8049764094794342,221.5465598337756,234.10116819779185
null_v2__firelava_4__s43,S-GRID,NULLGEN,GT__firelava_4,1.397121647958441,0.41847537832992276,0.41847537832992276,0.7160804127416995,0.8799839099084819,0.93264078619146,0.9811647949303162,1.0132022935775886,0.28246348267921917,0.8007694682863536,221.5465598337756,234.10116819779185
null_v2__flying_cam_transition_4__s42,S-GRID,NULLGEN,GT__flying_cam_transition_4,1.340663013780343,0.5144626165661672,0.5095510807241165,0.7421043119256041,0.9018427502506924,0.9174711399222831,1.0051626085113392,0.992280201358279,0.06574510374980491,0.7299811996722261,214.22352001615187,210.87253354992916
null_v2__flying_cam_transition_4__s43,S-GRID,NULLGEN,GT__flying_cam_transition_4,1.340663013780343,0.5144626165661672,0.5095510807241165,0.7421043119256041,0.9018427502506924,0.9111588909453179,1.0068361119182272,0.992280201358279,0.06052133519517611,0.728189994161955,214.22352001615187,210.87253354992916
null_v3__hero_flight_1__s42,S-GRID,NULLGEN,GT__hero_flight_1,1.3719291086691792,0.5614505412280685,0.5614505412280685,0.727691274410798,0.9122755299654032,0.90039389922722,1.002141737510809,0.9884707906173015,0.06455967181227606,0.7295751064188923,211.6885722907308,207.94249324542088
