clip_id,group,cls,path,a_idx,b_idx,gini,offline,DR,gap_rel
base_cond|01_effect__dai|3a7fd20ca6,GEN:base_cond:v2:effect:both,shadow_smoke_7,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__shadow_smoke_7__ref_hero_flight_5__s42.mp4,8,113,0.8056252356729385,0.5858970565947419,0.606573015176309,0.9212518137117124
base_cond|01_effect__dai|4bde96b943,GEN:base_cond:v2:effect:both,shadow_smoke_7,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__shadow_smoke_7__ref_hero_flight_5__s43.mp4,8,113,0.7890266031834798,0.5319513038487016,0.3279243265457395,0.9215943936111832
base_cond|01_effect__dai|75ed2493d0,GEN:base_cond:v2:effect:start,super_fast_run_3,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__super_fast_run_3__ref_color_rain_0__s42.mp4,8,120,0.4136898910190323,0.3168759887582759,0.3210630058060836,0.5118681635451026
base_cond|01_effect__dai|2ca2b718ad,GEN:base_cond:v2:effect:start,super_fast_run_3,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__super_fast_run_3__ref_color_rain_0__s43.mp4,8,120,0.4046016555275395,0.6508790485296063,0.6720091643459044,0.5120855636248606
base_cond|01_effect__dai|5aa8b8be79,GEN:base_cond:v2:effect:start,color_rain_2,store/gens/005_base_cond/01_effect__dai/videos/G-unseen-cross__ctt_v2__color_rain_2__ref_animalization_0__s42.mp4,8,120,0.5157679892956775,0.4215698625185889,0.463240500026476,0.5588250959484052
base_cond|01_effect__dai|923d8c74d7,GEN:base_cond:v2:effect:start,color_rain_2,store/gens/005_base_cond/01_effect__dai/videos/G-unseen-cross__ctt_v2__color_rain_2__ref_animalization_0__s43.mp4,8,120,0.6479220576043945,0.1751135677592804,0.1831837483968283,0.6928938537259154
base_cond|01_effect__dai|3484b1aca9,GEN:base_cond:v2:effect:start,color_rain_2,store/gens/005_base_cond/01_effect__dai/videos/G-unseen-cross__ctt_v2__color_rain_2__ref_super_fast_run_0__s42.mp4,8,120,0.790755609450744,0.4488103988405609,0.4885424142829329,0.6050605440274286
base_cond|01_effect__dai|c39157dc53,GEN:base_cond:v2:effect:start,color_rain_2,store/gens/005_base_cond/01_effect__dai/videos/G-unseen-cross__ctt_v2__color_rain_2__ref_super_fast_run_0__s43.mp4,8,120,0.4735307010572025,0.6449342394652906,0.7513965566767704,0.6482736392109077
base_cond|01_effect__dai|8913a98c53,GEN:base_cond:v2:effect:start,polygon_4,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__polygon_4__ref_polygon_0__s42.mp4,8,120,0.8046946646190924,0.197231171908228,0.2137282578100318,0.6186929859595882
base_cond|01_effect__dai|440e7afb00,GEN:base_cond:v2:effect:start,polygon_4,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__polygon_4__ref_polygon_0__s43.mp4,8,120,0.6943068140717541,0.2308482788854255,0.1241472800169359,0.6532553491615893
base_cond|01_effect__dai|3833f1acca,GEN:base_cond:v2:effect:start,portal_1,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__portal_1__ref_portal_0__s42.mp4,8,120,0.6435393908727871,0.3105467962843392,0.4246091866773487,0.9352779483795032
base_cond|01_effect__dai|53dc127035,GEN:base_cond:v2:effect:start,portal_1,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__portal_1__ref_portal_0__s43.mp4,8,120,0.7449635796420988,0.2320742903513081,0.1817084853446569,0.9043327088463292
base_cond|01_effect__dai|2a9e529a2d,GEN:base_cond:v2:effect:start,super_fast_run_0,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__super_fast_run_0__ref_super_fast_run_1__s42.mp4,8,120,0.491525443636913,0.7800460446986687,0.8721441193882938,0.5713401103411521
base_cond|01_effect__dai|430e6d55ea,GEN:base_cond:v2:effect:start,super_fast_run_0,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__super_fast_run_0__ref_super_fast_run_1__s43.mp4,8,120,0.4844689529170563,0.5900882675876054,0.5996746904579073,0.5919275932649577
base_cond|01_effect__dai|dad9ef733b,GEN:base_cond:v2:effect:start,wireframe_0,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__wireframe_0__ref_wireframe_1__s42.mp4,8,120,0.6387650917067018,0.0147319617321768,0.0060780161292963,1.4436420818369244
base_cond|01_effect__dai|77a1b46a44,GEN:base_cond:v2:effect:start,wireframe_0,store/gens/005_base_cond/01_effect__dai/videos/G-memo-probe__ctt_v2__wireframe_0__ref_wireframe_1__s43.mp4,8,120,0.5411216253825599,0.0444677454490293,0.0341826971347376,1.4136953013167433
base_cond|01_effect__dai|3e57e848b6,GEN:base_cond:v2:effect:both,hero_flight_6,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__hero_flight_6__ref_shadow_smoke_0__s42.mp4,8,113,0.4646188313096311,0.6876739440797561,0.7147643721412407,0.7183311819614956
base_cond|01_effect__dai|8284827dea,GEN:base_cond:v2:effect:both,hero_flight_6,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__hero_flight_6__ref_shadow_smoke_0__s43.mp4,8,113,0.5344309019862425,0.692277625405478,0.6493852839595173,0.7191771351559296
base_cond|01_effect__dai|4ffb720eb6,GEN:base_cond:v2:effect:start,illustration_scene_7,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__illustration_scene_7__ref_polygon_4__s42.mp4,8,120,0.533206549714961,0.217655307260786,0.1871973793468138,1.1104164691583742
base_cond|01_effect__dai|280483ee68,GEN:base_cond:v2:effect:start,illustration_scene_7,store/gens/005_base_cond/01_effect__dai/videos/G-ref-control__ctt_v2__illustration_scene_7__ref_polygon_4__s43.mp4,8,120,0.6643492314891493,0.2153421120530027,0.232570368144392,0.9561092290360046
base_cond|01_effect__dai|d2d2a7c987,GEN:base_cond:v2:effect:both,shadow_smoke_2,store/gens/005_base_cond/01_effect__dai/videos/G-fit__ctt_v2__shadow_smoke_2__ref_shadow_smoke_1__s42.mp4,8,113,0.5880836760008321,0.4074331000276298,0.2736248448652948,0.8333671035743169
