clip_id,stratum,group,tier,endpoint,seed,path,T,a_idx,b_idx,two_sided,md5,static_pix,twin_clip_id,prompt_cat,grid,notes
null_v2__hero_flight_1__s42,S-GRID,NULLGEN,,hero_flight_1,42,store/gens/005_base_cond/02_neutral__dai/videos/G-fit__ctt_v2__hero_flight_1__ref_hero_flight_0__s42.mp4,121,8,113,True,94fc1b2320c8bea1f822c2d8667248e4,False,GT__hero_flight_1,neutral,v2,dedup_group=1;endpoint_class=hero_flight
null_v2__hero_flight_1__s43,S-GRID,NULLGEN,,hero_flight_1,43,store/gens/005_base_cond/02_neutral__dai/videos/G-fit__ctt_v2__hero_flight_1__ref_hero_flight_0__s43.mp4,121,8,113,True,ecf792363a4314ba47f5c8174c5fa92f,False,GT__hero_flight_1,neutral,v2,dedup_group=1;endpoint_class=hero_flight
null_v2__shadow_smoke_2__s42,S-GRID,NULLGEN,,shadow_smoke_2,42,store/gens/005_base_cond/02_neutral__dai/videos/G-fit__ctt_v2__shadow_smoke_2__ref_shadow_smoke_1__s42.mp4,121,8,113,True,b75f66507c224b36a7dd6a2a131a9e3c,False,GT__shadow_smoke_2,neutral,v2,dedup_group=1;endpoint_class=shadow_smoke
null_v2__shadow_smoke_2__s43,S-GRID,NULLGEN,,shadow_smoke_2,43,store/gens/005_base_cond/02_neutral__dai/videos/G-fit__ctt_v2__shadow_smoke_2__ref_shadow_smoke_1__s43.mp4,121,8,113,True,d1bfbb02ea8280b59dfd91efd0009e1e,False,GT__shadow_smoke_2,neutral,v2,dedup_group=1;endpoint_class=shadow_smoke
null_v2__hero_flight_5__s42,S-GRID,NULLGEN,,hero_flight_5,42,store/gens/005_base_cond/02_neutral__dai/videos/G-memo-probe__ctt_v2__hero_flight_5__ref_hero_flight_0__s42.mp4,121,8,113,True,fe0941d063f6697b14d05db6e1af3e34,False,GT__hero_flight_5,neutral,v2,dedup_group=3;endpoint_class=hero_flight
null_v2__hero_flight_5__s43,S-GRID,NULLGEN,,hero_flight_5,43,store/gens/005_base_cond/02_neutral__dai/videos/G-memo-probe__ctt_v2__hero_flight_5__ref_hero_flight_0__s43.mp4,121,8,113,True,25b3f2770b08c450f44fccd2859d6f8f,False,GT__hero_flight_5,neutral,v2,dedup_group=3;endpoint_class=hero_flight
null_v2__shadow_smoke_0__s42,S-GRID,NULLGEN,,shadow_smoke_0,42,store/gens/005_base_cond/02_neutral__dai/videos/G-memo-probe__ctt_v2__shadow_smoke_0__ref_shadow_smoke_1__s42.mp4,121,8,113,True,720915ff778838100c7b7df7b3ecc1a3,False,GT__shadow_smoke_0,neutral,v2,dedup_group=1;endpoint_class=shadow_smoke
null_v2__shadow_smoke_0__s43,S-GRID,NULLGEN,,shadow_smoke_0,43,store/gens/005_base_cond/02_neutral__dai/videos/G-memo-probe__ctt_v2__shadow_smoke_0__ref_shadow_smoke_1__s43.mp4,121,8,113,True,2e79dab2175ef4c81597a4986c343b04,False,GT__shadow_smoke_0,neutral,v2,dedup_group=1;endpoint_class=shadow_smoke
null_v2__hero_flight_6__s42,S-GRID,NULLGEN,,hero_flight_6,42,store/gens/005_base_cond/02_neutral__dai/videos/G-ref-control__ctt_v2__hero_flight_6__ref_shadow_smoke_0__s42.mp4,121,8,113,True,3116148bc04ed150d17c14d1b8a061aa,False,GT__hero_flight_6,neutral,v2,dedup_group=3;endpoint_class=hero_flight
null_v2__hero_flight_6__s43,S-GRID,NULLGEN,,hero_flight_6,43,store/gens/005_base_cond/02_neutral__dai/videos/G-ref-control__ctt_v2__hero_flight_6__ref_shadow_smoke_0__s43.mp4,121,8,113,True,966d3071c1e4a559b90ca0930b07f839,False,GT__hero_flight_6,neutral,v2,dedup_group=3;endpoint_class=hero_flight
null_v2__shadow_smoke_7__s42,S-GRID,NULLGEN,,shadow_smoke_7,42,store/gens/005_base_cond/02_neutral__dai/videos/G-ref-control__ctt_v2__shadow_smoke_7__ref_hero_flight_5__s42.mp4,121,8,113,True,ceaa51c0958237b941e993f488a25c7c,False,GT__shadow_smoke_7,neutral,v2,dedup_group=3;endpoint_class=shadow_smoke
null_v2__shadow_smoke_7__s43,S-GRID,NULLGEN,,shadow_smoke_7,43,store/gens/005_base_cond/02_neutral__dai/videos/G-ref-control__ctt_v2__shadow_smoke_7__ref_hero_flight_5__s43.mp4,121,8,113,True,d119ff0f69e2384d1c2a6fb158a308d2,False,GT__shadow_smoke_7,neutral,v2,dedup_group=3;endpoint_class=shadow_smoke
