measure,space,stratum,group,n,frac,lo,hi,fam_LERP,fam_CUT50,fam_FREEZE,fam_LATLERP,fam_REF,ref_own
landmark_nearest,PIX,S-GRID,NULLGEN,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,
landmark_nearest,PIX,S-GRID-F,NULLGEN,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,
landmark_nearest,PIX,S-GRID-START,NULLGEN,204,0.00980392156862745,0.0,0.030612244897959183,0.0,0.0,2.0,0.0,202.0,
landmark_nearest,PIX,S-PROBE,R2,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
landmark_nearest,PIX,S-PROBE,R3,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
landmark_nearest,PIX,S-SWEEP,A_empty,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,PIX,S-SWEEP,A_word,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,PIX,S-SWEEP,B,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,PIX,S-SWEEP,C,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,PIX,S-SWEEP,D,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,PIX,S-SWEEP,E,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest_LOObaseline,PIX,REF,GT,19,0.0,0.0,0.0,,,,,,
landmark_nearest_LOObaseline,PIX,REF,R1,120,0.0,0.0,0.0,,,,,,
occupancy_entropy,PIX,S-GRID,NULLGEN,68,0.6257281479453556,0.41825014707211455,0.7289468834012401,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-GRID-F,NULLGEN,38,0.807646279091718,0.5937528040234834,0.867829627800336,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-GRID-START,NULLGEN,204,0.7889007760598244,0.6793943676932359,0.8524459385804327,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-PROBE,R2,120,0.6188787289849749,0.48633593729116037,0.7097326654166406,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-PROBE,R3,120,0.45863600928664333,0.3282059092906581,0.5611569265985722,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,A_empty,10,0.27927991012866066,-0.0,0.3868528072345416,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,A_word,10,0.27927991012866066,-0.0,0.3868528072345416,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,B,10,0.1814322619606436,-0.0,0.340929858357647,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,C,10,0.4475034547403761,-0.0,0.588762155916294,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,D,10,0.1814322619606436,-0.0,0.340929858357647,,,,,,0.6590907287658662
occupancy_entropy,PIX,S-SWEEP,E,10,0.1814322619606436,-0.0,0.340929858357647,,,,,,0.6590907287658662
landmark_nearest,DINO,S-GRID,NULLGEN,68,0.04411764705882353,0.0,0.11764705882352941,3.0,0.0,0.0,0.0,65.0,
landmark_nearest,DINO,S-GRID-F,NULLGEN,38,0.13157894736842105,0.02631578947368421,0.25,5.0,0.0,0.0,0.0,33.0,
landmark_nearest,DINO,S-GRID-START,NULLGEN,204,0.10784313725490197,0.049019607843137254,0.17,22.0,0.0,0.0,0.0,182.0,
landmark_nearest,DINO,S-PROBE,R2,120,0.008333333333333333,0.0,0.025,1.0,0.0,0.0,0.0,119.0,
landmark_nearest,DINO,S-PROBE,R3,120,0.041666666666666664,0.008333333333333333,0.08333333333333333,5.0,0.0,0.0,0.0,115.0,
landmark_nearest,DINO,S-SWEEP,A_empty,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,DINO,S-SWEEP,A_word,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,DINO,S-SWEEP,B,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,DINO,S-SWEEP,C,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,DINO,S-SWEEP,D,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest,DINO,S-SWEEP,E,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
landmark_nearest_LOObaseline,DINO,REF,GT,19,0.0,0.0,0.0,,,,,,
landmark_nearest_LOObaseline,DINO,REF,R1,120,0.016666666666666666,0.0,0.041666666666666664,,,,,,
occupancy_entropy,DINO,S-GRID,NULLGEN,68,0.6502665353669205,0.5017806308392562,0.7048366815996677,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-GRID-F,NULLGEN,38,0.7120567480875185,0.48333886618152505,0.8123291203745088,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-GRID-START,NULLGEN,204,0.6895283932409594,0.6232763019618471,0.7346005539579574,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-PROBE,R2,120,0.5741354406136374,0.4679201776995991,0.6453019750970105,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-PROBE,R3,120,0.7588436671625792,0.691013580328139,0.7960607886295933,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,A_empty,10,0.6077266474915606,0.35665047157556895,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,A_word,10,0.6077266474915606,0.340929858357647,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,B,10,0.5303560860446522,0.1814322619606436,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,C,10,0.5264927622988719,0.27927991012866066,0.6077266474915606,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,D,10,0.27927991012866066,-0.0,0.3868528072345416,,,,,,0.5414792703119486
occupancy_entropy,DINO,S-SWEEP,E,10,0.340929858357647,-0.0,0.3868528072345416,,,,,,0.5414792703119486
landmark_nearest,VAE,S-GRID,NULLGEN,68,0.029411764705882353,0.0,0.09090909090909091,0.0,2.0,0.0,0.0,66.0,
landmark_nearest,VAE,S-GRID-F,NULLGEN,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,
landmark_nearest,VAE,S-GRID-START,NULLGEN,204,0.0196078431372549,0.0,0.06,4.0,0.0,0.0,0.0,200.0,
landmark_nearest,VAE,S-PROBE,R2,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
landmark_nearest,VAE,S-PROBE,R3,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,
