clip_id,stratum,group,n_point_landmark_nearest,trans_swaplike
null_v2__hero_flight_1__s42,S-GRID,NULLGEN,0,0
null_v2__hero_flight_1__s43,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_2__s42,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_2__s43,S-GRID,NULLGEN,0,1
null_v2__hero_flight_5__s42,S-GRID,NULLGEN,0,1
null_v2__hero_flight_5__s43,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_0__s42,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_0__s43,S-GRID,NULLGEN,0,0
null_v2__hero_flight_6__s42,S-GRID,NULLGEN,0,0
null_v2__hero_flight_6__s43,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_7__s42,S-GRID,NULLGEN,0,0
null_v2__shadow_smoke_7__s43,S-GRID,NULLGEN,0,0
null_v2__display_transition_1__s42,S-GRID,NULLGEN,0,1
null_v2__display_transition_1__s43,S-GRID,NULLGEN,1,0
null_v2__earth_wave_3__s42,S-GRID,NULLGEN,0,0
null_v2__earth_wave_3__s43,S-GRID,NULLGEN,0,0
null_v2__melt_transition_2__s42,S-GRID,NULLGEN,0,0
null_v2__melt_transition_2__s43,S-GRID,NULLGEN,0,0
null_v2__raven_transition_2__s42,S-GRID,NULLGEN,0,1
null_v2__raven_transition_2__s43,S-GRID,NULLGEN,0,0
null_v2__air_bending_1__s42,S-GRID,NULLGEN,1,0
null_v2__air_bending_1__s43,S-GRID,NULLGEN,0,0
null_v2__giant_grab_3__s42,S-GRID,NULLGEN,0,1
null_v2__giant_grab_3__s43,S-GRID,NULLGEN,0,1
null_v2__water_bending_3__s42,S-GRID,NULLGEN,0,0
null_v2__water_bending_3__s43,S-GRID,NULLGEN,0,0
null_v2__firelava_4__s42,S-GRID,NULLGEN,0,0
null_v2__firelava_4__s43,S-GRID,NULLGEN,0,0
null_v2__flying_cam_transition_4__s42,S-GRID,NULLGEN,0,0
null_v2__flying_cam_transition_4__s43,S-GRID,NULLGEN,0,0
