space,metric,contrast,n,median,n_neg,n_pos,wilcoxon_p
PIX,DR,R3-R1,120,-0.062117934226989746,100,20,1.0002044679831112e-15
PIX,DR,R3-R2,120,-0.03485797345638275,102,18,3.2691733455489825e-15
DINO,DR,R3-R1,120,-0.0783874094486237,98,22,1.1127231407877035e-15
DINO,DR,R3-R2,120,-0.03982575982809061,95,25,1.2847550541971767e-14
VAE,DR,R3-R1,120,-0.01526707410812378,73,47,0.0006378076910557262
VAE,DR,R3-R2,120,-0.013944745063781738,79,41,5.672682211361356e-07
PIX,nu_max,R3-R1,120,-0.06428191065788269,81,39,2.4294315097873847e-06
PIX,nu_max,R3-R2,120,-0.06316602230072021,79,41,8.167141139980675e-07
PIX,step_share,R3-R1,120,0.039644704200327396,15,105,1.3106360934483275e-17
PIX,step_share,R3-R2,120,0.03035197779536245,18,102,2.706421957204789e-15
TRANS,swap_sharp,R3-R1,120,0.2050033501363695,18,102,3.563604755012143e-16
TRANS,swap_sharp,R3-R2,120,0.14359656998263998,20,100,5.863554918976408e-15
