tier,space,metric,contrast,n,median,n_neg,n_pos,wilcoxon_p
high,PIX,DR,R3-R1,90,-0.1,78,12,9.63e-14
high,PIX,DR,R3-R2,90,-0.0703,79,11,5.55e-14
high,DINO,DR,R3-R1,90,-0.1054,75,15,8.79e-14
high,DINO,DR,R3-R2,90,-0.0664,79,11,2.56e-14
high,VAE,DR,R3-R1,90,-0.0376,61,29,2.59e-05
high,VAE,DR,R3-R2,90,-0.0377,66,24,2.72e-08
high,PIX,nu_max,R3-R1,90,-0.107,66,24,1.07e-06
high,PIX,nu_max,R3-R2,90,-0.1167,63,27,8.18e-07
high,PIX,step_share,R3-R1,90,0.0525,6,84,2.78e-15
high,PIX,step_share,R3-R2,90,0.0454,8,82,6.40e-15
high,TRANS,swap_sharp,R3-R1,90,0.2604,11,79,3.95e-14
high,TRANS,swap_sharp,R3-R2,90,0.2093,8,82,7.10e-14
inplace,PIX,DR,R3-R1,30,-0.0288,22,8,4.03e-03
inplace,PIX,DR,R3-R2,30,-0.0049,23,7,4.05e-02
inplace,DINO,DR,R3-R1,30,-0.0466,23,7,5.38e-03
inplace,DINO,DR,R3-R2,30,-0.002,16,14,3.28e-01
inplace,VAE,DR,R3-R1,30,0.0113,12,18,2.80e-01
inplace,VAE,DR,R3-R2,30,0.0013,13,17,5.98e-01
inplace,PIX,nu_max,R3-R1,30,0.0002,15,15,8.71e-01
inplace,PIX,nu_max,R3-R2,30,-0.0014,16,14,4.04e-01
inplace,PIX,step_share,R3-R1,30,0.0128,9,21,2.77e-03
inplace,PIX,step_share,R3-R2,30,0.0024,10,20,1.91e-01
inplace,TRANS,swap_sharp,R3-R1,30,0.0518,7,23,2.77e-03
inplace,TRANS,swap_sharp,R3-R2,30,0.0141,12,18,2.45e-01
